Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
NONE,0.0,0.0,0.632,0.84,100.00
random_noise,-0.84,-0.632,0.0,0.0,0.02
overlay_stripes,-0.8079999999999999,-0.612,0.02,0.032,7.85
blur,-0.8039999999999999,-0.624,0.008,0.036,3.00
rotate,-0.7839999999999999,-0.62,0.012,0.056,27.78
pixelization,-0.772,-0.612,0.02,0.068,70.00
overlay_emoji,-0.772,-0.608,0.024,0.068,64.00
sharpen,-0.756,-0.604,0.028,0.084,100.00
change_aspect_ratio,-0.756,-0.596,0.036,0.084,30.00
encoding_quality,-0.74,-0.588,0.044,0.1,85.00
color_jitter,-0.74,-0.592,0.04,0.1,16.00
scale,-0.6839999999999999,-0.5680000000000001,0.064,0.156,20.00
overlay_text,-0.6719999999999999,-0.5680000000000001,0.064,0.168,25.00
vflip,-0.6559999999999999,-0.576,0.056,0.184,100.00
meme_format,-0.632,-0.532,0.1,0.208,40.00
perspective_transform,-0.592,-0.552,0.08,0.248,50.00
hflip,-0.548,-0.512,0.12,0.292,100.00
opacity,-0.49999999999999994,-0.46799999999999997,0.164,0.34,50.00
