,Augmentation,Top1 acc change,Top5 acc change,Top1 acc,Top5 acc,Intensity
0,NONE,0.0,0.0,0.632,0.84,100.00
1,random_noise,-0.836,-0.632,0.0,0.004,0.02
2,opacity,-0.832,-0.632,0.0,0.008,50.00
3,blur,-0.82,-0.624,0.008,0.02,5.00
4,overlay_stripes,-0.8079999999999999,-0.612,0.02,0.032,7.85
5,rotate,-0.7839999999999999,-0.62,0.012,0.056,27.78
6,pixelization,-0.772,-0.612,0.02,0.068,70.00
7,overlay_emoji,-0.772,-0.608,0.024,0.068,64.00
8,change_aspect_ratio,-0.76,-0.596,0.036,0.08,30.00
9,sharpen,-0.756,-0.604,0.028,0.084,100.00
10,encoding_quality,-0.74,-0.588,0.044,0.1,85.00
11,color_jitter,-0.74,-0.592,0.04,0.1,16.00
12,scale,-0.6839999999999999,-0.5680000000000001,0.064,0.156,20.00
13,overlay_text,-0.6799999999999999,-0.5680000000000001,0.064,0.16,25.00
14,vflip,-0.6559999999999999,-0.576,0.056,0.184,100.00
15,meme_format,-0.632,-0.532,0.1,0.208,40.00
16,perspective_transform,-0.592,-0.548,0.084,0.248,50.00
17,hflip,-0.548,-0.512,0.12,0.292,100.00
